race_code,日付raw,場コード,Ｒ,馬番,馬名,年齢,着順,騎手,調教師,オッズ,人気,着差,上がり3F,脚質,クラス名
2026062009030501,20260620,09,01,01,ライツフォル,06,04,難波剛健,高橋義忠,0098,05,+009,137,2,999
2026062002010301,20260620,02,01,01,ナオミニオールイン,03,16,北村友一,佐藤悠太,0051,04,+019,374,1,703
2026062005030501,20260620,05,01,01,リコラピッド,03,16,丸山元気,森一誠　,1506,13,+041,393,3,703
2026062005030501,20260620,05,01,02,アンチェーン,03,12,江田照男,嘉藤貴行,0375,06,+032,382,4,703
2026062009030501,20260620,09,01,02,グラニットピーク,06,05,坂口智康,田島俊明,0643,07,+017,137,2,999
2026062002010301,20260620,02,01,02,チョウブク,03,13,石田拓郎,新開幸一,0269,07,+010,355,3,703
2026062009030501,20260620,09,01,03,テイエムエメラルド,08,07,黒岩悠　,小椋研介,0671,08,+074,141,4,999
2026062005030501,20260620,05,01,03,ホウオウロレンシア,03,06,佐藤翔馬,高木登　,0042,02,+013,372,3,703
2026062002010301,20260620,02,01,03,ミルトメロディー,03,04,河原田菜,青木孝文,0207,06,+003,355,2,703
2026062002010301,20260620,02,01,04,ハッピーローヴァー,03,06,武豊　　,渡辺薫彦,0033,01,+005,343,4,703
2026062005030501,20260620,05,01,04,オウケンサクラコ,03,07,丸田恭介,田中勝春,0592,09,+020,369,4,703
2026062009030501,20260620,09,01,04,オオキニ,07,02,森一馬　,鈴木孝志,0022,01,+002,136,2,999
2026062002010301,20260620,02,01,05,ブルーハーツ,03,11,吉田隼人,勢司和浩,0898,15,+007,349,4,703
2026062009030501,20260620,09,01,05,タマモエース,07,00,水沼元輝,宮地貴稔,0132,06,9999,999,0,999
2026062005030501,20260620,05,01,05,フェスティヴハート,03,02,柴田大知,畠山吉宏,0221,05,+008,374,1,703
2026062005030501,20260620,05,01,06,ベッラモレーン,03,14,石橋脩　,矢野英一,0510,08,+039,392,3,703
2026062009030501,20260620,09,01,06,シャンデルナゴル,06,06,中村将之,石坂公一,0087,04,+027,138,3,999
2026062002010301,20260620,02,01,06,テイクマイハート,03,06,池添謙一,森田直行,0369,09,+005,359,2,703
2026062009030501,20260620,09,01,07,ネイチャーシップ,08,03,大江原圭,畠山吉宏,0046,03,+005,136,2,999
